appid,name,AR,AU,BR,CA,CN,DE,FR,GB,JP,PL,TR,US,diff_vs_US_AR_%,diff_vs_US_AU_%,diff_vs_US_BR_%,diff_vs_US_CA_%,diff_vs_US_CN_%,diff_vs_US_DE_%,diff_vs_US_FR_%,diff_vs_US_GB_%,diff_vs_US_JP_%,diff_vs_US_PL_%,diff_vs_US_TR_%
3230400,EA SPORTS™ Madden NFL 26,69.99,109.95,299.0,89.99,348.0,69.99,69.99,59.99,9800.0,299.9,69.99,69.99,0.0,57.09387055293615,327.20388626946703,28.575510787255325,397.2138876982426,0.0,0.0,-14.287755393627652,13902.00028575511,328.48978425489355,0.0
3241660,R.E.P.O.,3.76,9.42,21.44,8.44,27.3,6.33,6.33,5.52,780.0,29.89,3.76,6.49,-42.064714946070886,45.146379044684124,230.35439137134054,30.046224961479183,320.6471494607088,-2.465331278890603,-2.465331278890603,-14.946070878274279,11918.489984591679,360.55469953775037,-42.064714946070886
3405340,Megabonk,5.79,14.5,32.99,12.99,42.0,9.75,9.75,8.5,1200.0,36.13,5.79,9.99,-42.04204204204204,45.14514514514514,230.23023023023023,30.03003003003003,320.4204204204204,-2.4024024024024047,-2.4024024024024047,-14.914914914914917,11912.012012012012,261.66166166166164,-42.04204204204204
3405690,EA SPORTS FC™ 26,69.99,109.95,299.0,89.99,248.0,69.99,69.99,59.99,9800.0,299.9,69.99,69.99,0.0,57.09387055293615,327.20388626946703,28.575510787255325,254.33633376196602,0.0,0.0,-14.287755393627652,13902.00028575511,328.48978425489355,0.0
3450310,Europa Universalis V,35.99,84.95,219.99,79.99,238.0,59.99,59.99,49.99,7990.0,274.99,35.99,59.99,-40.00666777796299,41.60693448908152,266.71111851975326,33.33888981496915,296.73278879813296,0.0,0.0,-16.66944490748458,13218.886481080179,358.39306551091846,-40.00666777796299
3472040,NBA 2K26,39.99,59.97,214.95,51.99,184.5,39.99,39.99,34.99,5150.0,174.5,39.99,39.99,0.0,49.96249062265565,437.509377344336,30.00750187546887,361.3653413353338,0.0,0.0,-12.503125781445359,12778.219554888721,336.35908977244304,0.0
3551340,Football Manager 26,49.99,94.95,,79.99,268.0,59.99,59.99,49.99,7990.0,249.0,49.99,59.99,-16.66944490748458,58.27637939656609,,33.33888981496915,346.74112352058677,0.0,0.0,-16.66944490748458,13218.886481080179,315.069178196366,-16.66944490748458
3606480,Call of Duty®: Black Ops 7,69.99,109.95,349.9,89.99,348.0,79.99,79.99,69.99,9800.0,349.0,69.99,69.99,0.0,57.09387055293615,399.92856122303186,28.575510787255325,397.2138876982426,14.287755393627663,14.287755393627663,0.0,13902.00028575511,398.6426632376054,0.0
381210,Dead by Daylight,14.99,28.95,69.99,25.99,93.75,19.99,19.99,14.99,1980.0,71.99,14.99,19.99,-25.012506253126553,44.822411205602805,250.12506253126566,30.015007503751878,368.9844922461231,0.0,0.0,-25.012506253126553,9804.952476238119,260.13006503251626,-25.012506253126553
3949040,RV There Yet?,4.49,11.79,26.49,10.49,33.0,7.79,7.79,6.69,920.0,28.99,4.49,7.99,-43.80475594493116,47.55944931163953,231.53942428035043,31.289111389236545,313.0162703379224,-2.503128911138926,-2.503128911138926,-16.270337922403,11414.392991239049,262.828535669587,-43.80475594493116
436780,Tavern Keeper 🍻,11.19,35.19,71.99,30.39,81.6,22.39,22.39,19.19,2720.0,71.99,11.19,23.99,-53.35556481867445,46.686119216340145,200.08336807002917,26.677782409337237,240.14172571904965,-6.669445602334298,-6.669445602334298,-20.00833680700291,11238.057523968322,200.08336807002917,-53.35556481867445
553850,HELLDIVERS™ 2,39.99,59.95,199.5,49.99,198.0,39.99,39.99,34.99,4480.0,169.0,39.99,39.99,0.0,49.91247811952988,398.87471867966985,25.006251562890718,395.12378094523626,0.0,0.0,-12.503125781445359,11102.800700175045,322.60565141285315,0.0
