platform,appid,country,currency,initial,final,discount_percent,release_date,type,is_free,genres,categories,ts_collected_utc
steam,1158310,AU,AUD,69.95,69.95,0,"1 Sep, 2020",game,False,"RPG,Simulation,Strategy","Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play on Tablet,Family Sharing",2025-11-17T05:02:14Z
steam,39210,FR,EUR,9.99,9.99,0,"18 Feb, 2014",game,False,"Massively Multiplayer,RPG","Single-player,Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Adjustable Text Size,Custom Volume Controls,Keyboard Only Option,Save Anytime,Stereo Sound,Surround Sound,Partial Controller Support,Remote Play on Tablet,Family Sharing",2025-11-17T05:02:14Z
steam,275850,NZ,NZD,85.99,85.99,0,"12 Aug, 2016",game,False,"Action,Adventure","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Tracked Controller Support,VR Supported,Steam Trading Cards,Steam Cloud,Remote Play on Tablet,Remote Play on TV,HDR available,Family Sharing",2025-11-17T05:02:14Z
steam,2322010,CN,CNY,398.0,398.0,0,"19 Sep, 2024",game,False,"Action,Adventure,RPG","Single-player,Steam Achievements,Full controller support,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Narrated Game Menus,Playable without Timed Input,Save Anytime,Stereo Sound,Subtitle Options,Surround Sound,Steam Cloud,HDR available,Family Sharing",2025-11-17T05:02:14Z
steam,454650,AU,AUD,29.95,29.95,0,"27 Oct, 2016",game,False,"Action,Adventure,Casual,Massively Multiplayer","Single-player,Multi-player,MMO,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Family Sharing",2025-11-17T05:02:14Z
steam,2772990,AU,AUD,12.84,8.98,30,"8 Nov, 2025",game,False,"Action,Adventure,Indie","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Stereo Sound,Surround Sound,Partial Controller Support,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,1671210,NO,NOK,249.0,249.0,0,"4 Jun, 2025",game,False,"Indie,RPG","Single-player,Full controller support,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,2947440,IT,EUR,79.99,79.99,0,"24 Sep, 2025",game,False,"Action,Adventure","Single-player,Steam Achievements,Full controller support,Color Alternatives,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Subtitle Options,Surround Sound,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,926990,CA,CAD,38.99,25.73,34,"22 Jul, 2025",game,False,"Action,RPG,Simulation","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Family Sharing",2025-11-17T05:02:14Z
steam,327030,PL,PLN,107.99,16.19,85,"23 Aug, 2016",game,False,"Action,Strategy","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Family Sharing",2025-11-17T05:02:14Z
